Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
B1,10/11/2019,13:30,Antwerp,Club Brugge,,,,,,,3.5,3.6,2.0,3.5,3.6,2.05,3.25,3.5,2.05,3.53,3.83,2.04,3.25,3.6,2.05,3.4,3.6,2.05,3.53,3.83,2.1,3.36,3.58,2.04,1.66,2.15,1.7,2.2,1.73,2.23,1.67,2.16,0.25,2.05,1.8,2.13,1.77,2.13,1.85,2.06,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,09/11/2019,19:00,Cercle Brugge,St Truiden,,,,,,,2.37,3.6,2.75,2.45,3.6,2.75,2.45,3.45,2.6,2.47,3.7,2.78,2.38,3.6,2.7,2.45,3.6,2.7,2.51,3.75,2.78,2.44,3.52,2.68,1.57,2.35,1.62,2.36,1.64,2.39,1.59,2.32,0.0,1.85,2.0,1.83,2.06,1.89,2.06,1.84,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,09/11/2019,17:00,Charleroi,Eupen,,,,,,,1.75,3.75,4.33,1.8,3.75,4.4,1.77,3.55,4.3,1.81,3.65,4.73,1.75,3.6,4.5,1.75,3.7,4.5,1.85,3.75,4.73,1.79,3.59,4.35,1.9,1.9,1.97,1.89,1.97,1.96,1.91,1.88,-0.75,2.02,1.83,2.07,1.81,2.09,1.87,2.04,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,10/11/2019,17:00,Genk,Gent,,,,,,,2.37,3.6,2.7,2.4,3.5,2.85,2.35,3.45,2.75,2.39,3.66,2.91,2.3,3.6,2.8,2.38,3.6,2.8,2.45,3.74,2.91,2.37,3.5,2.78,1.6,2.3,1.61,2.38,1.64,2.39,1.6,2.3,-0.25,2.1,1.77,2.07,1.81,2.19,1.85,2.08,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,09/11/2019,19:00,Kortrijk,Waasland-Beveren,,,,,,,1.6,4.33,4.75,1.62,4.1,5.25,1.63,3.9,4.85,1.66,3.99,5.44,1.62,4.0,5.0,1.62,4.1,5.0,1.69,4.33,5.44,1.63,3.95,4.97,1.65,2.2,1.65,2.3,1.67,2.39,1.63,2.24,-0.75,1.83,2.02,1.83,2.05,1.89,2.11,1.81,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,09/11/2019,19:30,Oostende,Mouscron,,,,,,,2.6,3.6,2.5,2.65,3.4,2.65,2.5,3.3,2.6,2.58,3.54,2.75,2.5,3.5,2.62,2.55,3.5,2.63,2.65,3.6,2.75,2.52,3.4,2.65,1.75,2.05,1.78,2.09,1.82,2.12,1.77,2.04,0.0,1.88,1.98,1.88,2.0,1.97,2.03,1.87,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,10/11/2019,19:00,Standard,Mechelen,,,,,,,1.57,4.0,5.5,1.6,4.25,5.25,1.6,3.95,5.0,1.61,4.44,5.22,1.62,4.0,5.0,1.62,4.0,5.25,1.66,4.44,5.5,1.6,4.12,5.08,1.65,2.2,1.61,2.37,1.67,2.38,1.61,2.26,-1.0,2.05,1.8,2.07,1.82,2.13,1.89,2.03,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B1,08/11/2019,19:30,Waregem,Anderlecht,,,,,,,3.0,3.75,2.2,3.0,3.6,2.3,2.95,3.4,2.25,3.09,3.59,2.31,2.9,3.6,2.25,2.9,3.6,2.3,3.1,3.75,2.33,2.97,3.5,2.26,1.65,2.2,1.71,2.22,1.73,2.23,1.68,2.17,0.25,1.85,2.0,1.89,2.01,1.89,2.05,1.85,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Barnsley,Stoke,,,,,,,2.87,3.3,2.5,2.95,3.2,2.5,2.8,3.3,2.5,2.92,3.34,2.58,2.8,3.4,2.5,2.88,3.4,2.5,2.95,3.4,2.65,2.84,3.29,2.52,1.9,1.9,1.96,1.94,1.98,1.96,1.91,1.9,0.0,2.08,1.82,2.08,1.84,2.11,1.85,2.05,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Birmingham,Fulham,,,,,,,3.1,3.25,2.4,3.1,3.3,2.35,3.0,3.3,2.35,3.26,3.29,2.39,3.1,3.4,2.3,3.1,3.3,2.38,3.29,3.42,2.45,3.12,3.28,2.35,2.0,1.8,2.04,1.86,2.06,1.88,1.99,1.82,0.25,1.85,2.05,1.87,2.05,1.87,2.06,1.84,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,10/11/2019,12:00,Cardiff,Bristol City,,,,,,,1.95,3.6,3.8,2.0,3.5,3.8,2.0,3.5,3.5,2.03,3.64,3.84,2.0,3.5,3.75,1.95,3.6,3.5,2.1,3.66,3.84,2.02,3.52,3.64,1.8,2.0,1.88,2.01,1.88,2.07,1.83,1.99,-0.5,2.03,1.87,2.03,1.89,2.05,1.89,2.02,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Hull,West Brom,,,,,,,3.1,3.6,2.2,3.1,3.6,2.2,3.05,3.5,2.2,3.1,3.61,2.33,3.0,3.5,2.3,3.1,3.6,2.3,3.2,3.69,2.35,3.06,3.55,2.25,1.66,2.2,1.7,2.25,1.72,2.44,1.65,2.22,0.25,1.91,1.99,1.89,2.02,1.95,2.03,1.89,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Leeds,Blackburn,,,,,,,1.45,4.33,7.5,1.45,4.25,8.0,1.45,4.4,7.0,1.42,4.85,8.17,1.42,4.6,8.0,1.4,4.8,8.0,1.49,4.93,8.31,1.43,4.54,7.46,1.8,2.0,1.77,2.15,1.89,2.15,1.76,2.06,-1.25,2.01,1.89,1.99,1.93,2.05,1.93,2.0,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Millwall,Charlton,,,,,,,2.05,3.4,3.75,2.05,3.4,3.7,2.0,3.35,3.7,2.03,3.5,3.99,2.0,3.4,3.9,2.0,3.5,3.9,2.12,3.53,4.05,2.03,3.42,3.76,2.1,1.72,2.25,1.7,2.25,1.81,2.14,1.71,-0.5,2.02,1.88,2.03,1.88,2.06,1.9,2.01,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,12:30,Nott'm Forest,Derby,,,,,,,2.2,3.4,3.3,2.2,3.4,3.3,2.15,3.35,3.35,2.19,3.49,3.5,2.15,3.4,3.4,2.15,3.5,3.4,2.25,3.52,3.53,2.17,3.4,3.37,2.0,1.8,2.04,1.85,2.04,1.9,1.98,1.83,-0.25,1.89,2.01,1.89,2.03,1.91,2.04,1.86,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,Preston,Huddersfield,,,,,,,1.75,3.6,4.75,1.83,3.5,4.5,1.8,3.45,4.55,1.83,3.51,5.02,1.78,3.5,5.0,1.8,3.6,4.8,1.87,3.66,5.1,1.81,3.47,4.75,2.1,1.72,2.2,1.73,2.2,1.94,2.1,1.74,-0.75,2.05,1.85,2.09,1.83,2.09,1.88,2.05,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E1,09/11/2019,15:00,QPR,Middlesbrough,,,,,,,1.85,3.75,4.0,1.91,3.7,3.9,1.87,3.7,3.85,1.91,3.83,4.1,1.91,3.75,3.9,1.9,3.8,3.9,1.95,3.92,4.5,1.89,3.72,3.94,1.72,2.1,1.78,2.14,1.78,2.22,1.74,2.1,-0.5,1.91,1.99,1.91,2.01,1.94,2.02,1.88,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
